Country,Code,Year,Rate
World,OWID_WRL,1990,15.43246194822293
World,OWID_WRL,1991,15.519153252256247
World,OWID_WRL,1992,15.754968852810496
World,OWID_WRL,1993,15.980497670873664
World,OWID_WRL,1994,16.057812211091033
World,OWID_WRL,1995,15.905087758418999
World,OWID_WRL,1996,15.418113459007587
World,OWID_WRL,1997,15.045785987151335
World,OWID_WRL,1998,14.720006214164044
World,OWID_WRL,1999,14.505848171147715
World,OWID_WRL,2000,14.095734243246618
World,OWID_WRL,2001,13.416015592587538
World,OWID_WRL,2002,12.988634596851544
World,OWID_WRL,2003,12.804717855987896
World,OWID_WRL,2004,12.602448181739645
World,OWID_WRL,2005,12.48887531603299
World,OWID_WRL,2006,12.040679068974518
World,OWID_WRL,2007,11.712701006505641
World,OWID_WRL,2008,11.554690508121013
World,OWID_WRL,2009,11.368959715200916
World,OWID_WRL,2010,11.238179538347477
World,OWID_WRL,2011,11.015416941149839
World,OWID_WRL,2012,10.726284311375577
World,OWID_WRL,2013,10.451020456516813
World,OWID_WRL,2014,10.311362176738491
World,OWID_WRL,2015,10.158487817767893
World,OWID_WRL,2016,10.068275308446038
World,OWID_WRL,2017,9.976258268013542